date,open,high,low,close,volume
2023-06-16,18.20,19.10,17.80,18.90,120000
2023-06-23,18.95,19.40,18.30,18.70,128000
2023-06-30,18.65,18.90,17.60,17.95,132000
2023-07-07,17.90,18.40,17.30,18.25,118000
2023-07-14,18.20,19.20,18.00,19.05,150000
2023-07-21,19.10,20.30,18.80,20.10,168000
2023-07-28,20.05,20.80,19.40,19.70,141000
2023-08-04,19.65,20.10,18.90,19.20,136000
2023-08-11,19.15,19.80,18.60,19.55,129000
2023-08-18,19.50,21.00,19.20,20.70,174000
2023-08-25,20.75,21.40,20.10,20.40,160000
2023-09-01,20.30,20.60,19.30,19.75,139000
2023-09-08,19.70,20.10,18.95,19.15,131000
2023-09-15,19.10,19.55,18.40,18.85,126000
2023-09-22,18.80,19.70,18.55,19.45,143000
2023-09-29,19.50,20.50,19.20,20.25,162000
2023-10-06,20.20,21.20,19.90,20.90,175000
2023-10-13,20.95,21.55,20.20,20.65,166000
2023-10-20,20.60,21.00,19.70,20.05,149000
2023-10-27,20.00,20.40,19.05,19.35,138000
2023-11-03,19.30,19.80,18.70,19.10,132000
2023-11-10,19.05,20.20,18.95,20.05,151000
2023-11-17,20.00,21.10,19.70,20.85,170000
2023-11-24,20.80,21.60,20.30,21.35,181000
2023-12-01,21.30,22.10,20.80,21.85,190000
2023-12-08,21.80,22.30,21.20,21.55,172000
2023-12-15,21.50,22.00,20.85,21.05,158000
2023-12-22,21.00,21.40,20.20,20.55,146000
2023-12-29,20.50,21.10,20.00,20.95,151000
2024-01-05,21.00,22.00,20.70,21.80,176000
2024-01-12,21.85,22.70,21.40,22.45,198000
2024-01-19,22.40,23.10,21.90,22.10,187000
2024-01-26,22.05,22.50,21.15,21.60,165000
2024-02-02,21.55,21.90,20.70,21.20,150000
2024-02-09,21.15,21.70,20.55,21.45,144000
2024-02-16,21.40,22.40,21.10,22.15,169000
2024-02-23,22.20,23.20,21.80,22.95,205000
2024-03-01,22.90,23.50,22.30,22.65,188000
2024-03-08,22.60,23.00,21.80,22.20,169000
2024-03-15,22.15,22.60,21.40,21.85,155000
2024-03-22,21.80,22.30,21.05,21.30,148000
2024-03-29,21.25,22.00,20.85,21.75,153000
2024-04-05,21.80,22.70,21.40,22.55,178000
2024-04-12,22.60,23.40,22.10,23.20,207000
2024-04-19,23.25,24.10,22.80,23.85,221000
2024-04-26,23.80,24.50,23.15,23.40,202000
2024-05-03,23.35,23.90,22.60,22.95,181000
2024-05-10,22.90,23.60,22.30,23.25,169000
2024-05-17,23.30,24.30,22.90,24.05,214000
2024-05-24,24.10,25.00,23.70,24.75,238000
2024-05-31,24.70,25.40,24.00,24.30,217000
2024-06-07,24.25,24.80,23.50,23.85,190000
2024-06-14,23.80,24.25,23.05,23.35,173000
2024-06-21,23.30,23.90,22.70,23.65,166000
2024-06-28,23.60,24.60,23.20,24.35,194000
2024-07-05,24.40,25.20,23.90,24.95,226000
2024-07-12,25.00,25.80,24.40,25.55,251000
2024-07-19,25.50,26.10,24.80,25.05,230000
2024-07-26,25.00,25.50,24.20,24.55,199000
2024-08-02,24.50,24.95,23.80,24.15,181000
2024-08-09,24.10,24.70,23.50,24.40,174000
2024-08-16,24.45,25.40,24.00,25.20,211000
2024-08-23,25.25,26.20,24.90,25.95,250000
2024-08-30,25.90,26.80,25.20,26.40,275000
2024-09-06,26.35,27.20,25.80,26.75,289000
2024-09-13,26.70,27.45,26.00,26.25,256000
2024-09-20,26.20,26.80,25.40,25.85,224000
2024-09-27,25.80,26.20,24.95,25.30,201000
2024-10-04,25.25,25.90,24.70,25.65,188000
2024-10-11,25.70,26.60,25.20,26.35,219000
2024-10-18,26.40,27.30,25.90,27.05,263000
2024-10-25,27.00,27.80,26.30,27.55,286000
2024-11-01,27.50,28.30,26.90,27.10,254000
2024-11-08,27.05,27.55,26.20,26.65,222000
2024-11-15,26.60,27.10,25.80,26.25,205000
2024-11-22,26.20,26.90,25.50,26.70,197000
2024-11-29,26.75,27.90,26.40,27.65,246000
2024-12-06,27.70,28.80,27.20,28.35,298000
2024-12-13,28.30,29.20,27.80,28.85,320000
2024-12-20,28.80,29.60,28.10,28.40,288000
2024-12-27,28.35,28.90,27.50,27.95,246000
2025-01-03,27.90,28.50,27.10,27.55,220000
2025-01-10,27.50,28.20,26.90,27.85,208000
2025-01-17,27.90,28.90,27.40,28.60,254000
2025-01-24,28.65,29.70,28.10,29.35,312000
2025-01-31,29.30,30.20,28.70,29.80,338000
2025-02-07,29.75,30.60,29.00,29.25,306000
2025-02-14,29.20,29.80,28.30,28.75,264000
2025-02-21,28.70,29.20,27.90,28.30,231000
2025-02-28,28.25,29.00,27.70,28.80,225000
2025-03-07,28.85,30.00,28.40,29.70,286000
2025-03-14,29.75,30.80,29.20,30.45,350000
2025-03-21,30.40,31.30,29.80,30.90,371000
2025-03-28,30.85,31.60,30.10,30.35,323000
2025-04-04,30.30,30.90,29.40,29.85,280000
2025-04-11,29.80,30.40,28.90,29.30,245000
2025-04-18,29.25,29.90,28.50,29.65,230000
2025-04-25,29.70,30.70,29.20,30.45,288000
2025-05-02,30.50,31.50,29.90,31.10,345000
2025-05-09,31.05,32.00,30.40,31.55,378000
2025-05-16,31.50,32.30,30.90,31.05,336000
2025-05-23,31.00,31.60,30.20,30.65,291000
2025-05-30,30.60,31.10,29.70,30.15,260000
2025-06-06,30.10,30.80,29.40,30.50,249000
